,product,title,rating,body
531,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Nice mobile and good picture quality,4,Price is more high
532,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",A great phone in this range.,5,Writing review after 10 days use.Liked the phone so far..Camera is good ans so is battery life.It charges very quick in almost 30 mins.Good experience overall.Go for it.
533,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)","Good mid level phone,  value for money",4,"Good mid level phone,  value for money"
534,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)","Front camera is not good at all, battery drains fast",4,
535,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",No Doubt,5,I did not found any issue because I am not a games lover nor spending too many times for watching videos with this mobile. Some hidden features you will be found after getting this mobile. Crystal clear voice and powerful antenna. I don't know why still some users trying to found any issue with this phone. My simple answer is you can buy this phone without any doubt.
536,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Great phone so far,5,"Got it in exchange for my old OnePlus 7t at just 18000 Rs, so a great deal for me. Great, fast service from Amazon.Coming to the phone itself, Have never been disappointed with OnePlus and it's set to continue. For its price, the features are top notch. I have observed no negatives so far. Will continue using and update in case I find something."
537,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Super ❤️,5,Super
538,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",All rounder,4,"The media could not be loaded.
                



 After update not heating much😁I love the camera.speakers are too loud and crispy ❤️,super charging support,decent bgmi performance.if you don't care about brand value go for iqoo Neo 6 &poco f4.oneplus nord 2t is a all rounder phone with higher brand value in the market"
539,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",good,5,good
540,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Superb,4,I like this
541,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Battery is very bad and hitting issue and hanging also and don't buy this product,3,I am using past 10 days  don't buy this product battery is drying and  lag issue
542,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Very good but battery not good,4,Everything is superb in all departments except battery  backup it's quite disappointed
543,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Best phone,4,All the Best
544,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Awesome,4,Awesome
545,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)","Excellent phone,,,just some heating issue n battery drain.",4,
546,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Overall good phone,4,Its ok phone at this price. For Day to Day use its perfect. Go for it.
547,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Battery issues,4,Jis speed main phone charge hta hai almost utni hi speed main discharge ho jaata hai. Front camera is not that fine....else other features are good.....looks and finishing of the phone is really classy....
548,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",It's good,5,
549,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)","Good camera, Good performance, Battery issues",5,"Again, you can't have everything in a phone just perfect and tailor made. Camera Quality and Specially the night mode is just amazing. UI is smooth. Overall worth the money."
550,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Does not work with a US sim,2,"Though with an Airtel sim, the Nord 2T roams and works well on US 4G networks, the phone doesn't work well, on any US sim. Just 2G calling and texts. Refused to work on 4G/5G."
551,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Ok,5,Ok
552,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Do not buy this mobile,2,"Battery back is not good, network issues in this mobile, front camera is not good..."
553,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Its good but sometimes lagging,4,"Phone is good quality but after using 5 days i feel its lagging while watching cricket match in sony and its hanged once then i restarted mobile,rest overall good."
554,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",My problem solve and good phone,5,Good phone
555,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Amezing phone. Love this.,4,Nice Gadgets.  Satisfied after 3 days Use.
556,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Good for the time being,4,"Best at this price range, camera is normal, battery is  little bit draining fast, charging battery is fast."
557,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Could be better,4,"Primary camera sensor is good but wide angle should be of 16mp atleast . Charger is really fast, does a job well.."
558,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Poor Battery,2,Poor Battery life not worth for 30 k INR.
559,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Good,4,Awesome
560,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Good mobile,4,Mobile battery 🔋 life is awesome and charge 0 to 100 within 20min. And also one day life.
561,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Nice look,5,Nice look
562,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Best one under 30k..,4,"Overall a good phone...Not for hardcore gaming all day..well balanced,well equipped.Awsome and smooth experience with gaming.good camera as well..low light photography is worth the price."
563,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Best Phone go ahead,5,It's a perfect smart phone with all the great  features
564,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Good,5,Good
565,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",First time experience 29k range mobile,4,"I like the overall experience due to Android 12. Front camera is not upto my expectation but it's good, Back camera is great.100%charge in 30 min."
566,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Camra quality is awesome.,5,Camra quality is awesome. Good  batery back up with normal use.. display is also very good. Can't notice any lap.
567,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Phone doesn't support jack headphone,3,Phone is not supporting the 3.5 jack headphone which is pathatic
568,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Very nice phones after one month review,5,Phone is very good but should be 120 hz refresh rate at this price. And battery should be more lasting but charge very fast (30 minutes)
569,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Good,4,"Battery life is poor,and camera quality is excellent.."
570,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Best phone as range 25k to 30k..,4,Smooth working with not as much battery drainage..quick charging...no heating till now..touch is super fine..worth buy
571,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Excellent camera quality,4,It's a great phone..Awesome dual speaker quality....Brilliant camera quality..(basically for those who love photography)Smooth gaming..And most important very fast changing with 80W charger....
572,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",All Rounder But,4,All Rounder But Little Disappointed with Battery Optimisation
573,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Nice phone,4,Camera is suberb at this range must go
574,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Not worth paying,4,Battery capacity is very low. Stay only 15to20hr.... Camera is good but not up to the mark.... Very dissatisfied 😞
575,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Software is too bad,4,Phone is good but software is too bad.
576,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",If you're opting for OnePlus budget range smartphone,4,"Great device if you're opting for OnePlus budget range smartphones, better than multiple phones in this price segment. This is my 15 days usage review."
577,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Osm,5,The media could not be loaded.
578,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Fully satisfied,5,Fully satisfied
